channelId,description,publishedAt,region,subscriberCount,videoCount,viewCount
UCjOl2AUblVmg2rA_cRgZkFg,"Welcome to the official home of Top Gear on YouTube. Here you will find all the best clips from your favourite episodes, whether that's Ken Block in the ...",2006-03-27T10:22:50Z,US,7600000,1352,3007747671
UCes1EvRjcKU4sY_UEavndBw,"Learn how to fix your own car with my easy to follow, step-by-step how to style videos for both beginners and experts. Save money, know the job is getting done ...",2008-07-30T14:59:12Z,US,6900000,337,1018824291
UCsAegdhiYLEoaFGuJFVrqFQ,The ultimate automotive streaming service. Get the MotorTrend App for $2/month now! ➡️ https://bit.ly/2GlwALJ Need help with your MotorTrend subscription?,2006-03-11T08:32:34Z,US,6580000,2212,1169127726
UCUhFaUpnq31m6TNX2VKVSVA,"On the lookout for your next car? Head to carwow.co.uk to find the right car from the right dealer, at the right price.",2014-01-02T16:32:13Z,US,4640000,1314,1396174290
UCKSVUHI9rbbkXhvAXK-2uxA,"I'm Alex, that girl with the cars and I hunt down the world's coolest cars! Agent: WME - http://www.wmeagency.com facebook.com/supercarblondie ...",2007-09-12T17:33:49Z,US,4670000,239,362026994
UC2C_jShtL725hvbm1arSV9w,,2010-08-12T20:12:29Z,US,4440000,158,583925845
UCL6JmiMXKoXS6bpP1D3bk8g,Are you an automotive history buff? Do you enjoy watching cars being built? Are you infinitely curious about engines? Do you want to know the stories behind ...,2015-07-09T18:57:30Z,US,4190000,829,890573977
UCsqjHFMB_JYTaEnf_vmTNqg,,2013-09-11T19:26:56Z,US,3750000,544,1174860850
UCuxpxCCevIlF-k-K5YU8XPA,Check Out My New Second Channel in the Link Below! This is the people's automotive channel! The most honest and funniest car channel on YouTube.,2007-08-19T13:12:23Z,US,3680000,2352,1189309633
UCxHOwUUMJZQBgXttO3OjAIA,,2006-08-05T17:20:59Z,US,11,9,1014
UC8-Th83bH_thdKZDJCrn88g,"The Tonight Show Starring Jimmy Fallon features hilarious highlights from the show including: comedy sketches, music parodies, celebrity interviews, ridiculous ...",2006-01-08T09:41:20Z,US,26500000,6158,12987067029
UCY30JRSgfhYXA6i6xX1erWg,New video every week! Buy Smosh merch at https://smosh.store.,2005-11-19T10:25:07Z,US,25100000,1160,9643956464
UCkAGrHCLFmlK3H2kd6isipg,Welcome to the Official Mr Bean channel. The first episode of the original Mr Bean series starring Rowan Atkinson was first broadcast on 1st January 1990.,2006-01-04T13:32:47Z,US,23600000,1957,7489952412
UCV9_KinVpV-snHe3C3n1hvA,"Send letters to: 3727 W. Magnolia Blvd #712 Burbank, CA 91505 *Branding, Media, & General Business Inquiries: ShaneDawsonTVBiz@gmail.com *Film ...",2005-09-22T03:45:47Z,US,21300000,652,4471159694
UC9gFih9rw0zNCK3ZtoKQQyA,For Business Inquiries: http://jennamarblesblog.com/contact-me/ http://www.facebook.com/pages/Jenna-Mourey/311917224927 ...,2010-02-16T17:38:20Z,US,20200000,250,1633478649
UCi9cDo6239RAzPpBZO9y5SA,PART OF THE SHOTS STUDIOS FAMILY!,2015-09-19T01:11:59Z,US,17100000,134,4146932448
UCo8bcnLyZH8tBIH9V1mLgqQ,"What I use: I draw my pictures on Paint Tools Sai and I edit it all in Adobe Premiere. (Really? You don't use any animation software??) (Yeah, I know it's ''''not ...",2014-08-30T18:08:02Z,US,15800000,110,3311490824
UCfm4y4rHF5HGrSr-qbvOwOg,"Spent thousands of dollars on tuition, graduated and got a degree. I make YouTube videos now. I am also a happy unicorn that believes in one love. Join me on ...",2010-10-29T06:29:13Z,US,14900000,801,3402590864
UCB0d0JLn1WcGYcwwZ87d2LA,"I make different types of videos ranging from, DIYs, life hacks, comedy, skits, and anything I enjoy making, I hope you enjoy it too! For all business and branding ...",2010-12-14T20:57:21Z,US,14600000,452,3772926251
UCPDis9pjXuqyI7RYLJ-TTSA,"Every success begins with a failure. FailArmy is for people who go out and try. They laugh in the face of failure, and don't take themselves too seriously. Want to ...",2011-07-05T10:47:32Z,US,14600000,344,1443072607
UCbCmjCuTUZos6Inko4u57UQ,"At CoComelon, our primary goal has always been to engage families with entertaining and educational content that makes universally-relatable preschool ...",2006-09-01T22:18:49Z,US,95300000,569,79753540060
UCBnZ16ahKA2DZ_T5W0FPUXg,"ChuChu TV is designed to engage children through upbeat nursery rhymes and educational songs with colorful animations. Baby Taku, ChuChu & Friends will ...",2013-02-09T07:51:48Z,US,40700000,383,26153689004
UCcdwLMPsaU2ezNSJU1nFoBQ,"Welcome to Pinkfong's official YouTube channel. Meet Pinkfong's fun, educational videos that captured the hearts of millions of children around the world.",2011-12-14T04:54:24Z,US,39200000,1643,17865160895
UCKAqou7V9FAWXpZd9xtOg3Q,Little Baby Bum is a fun and educational show for kids featuring classic and new nursery rhymes and loved by babies and their parents all around the world.,2011-06-22T13:34:20Z,US,33000000,1303,29454321373
UCBR8-60-B28hp2BmDPdntcQ,"YouTube's Official Channel helps you discover what's new & trending globally. Watch must-see videos, from music to culture to Internet phenomena.",1970-01-01T00:00:00Z,US,30800000,330,2323968235
UCLsooMJoIpl_7ux2jvdPB-Q,"Kids songs, nursery rhymes, and more! Learn and explore through song and movement with Super Simple Songs! Our team of educators has created some of ...",2006-09-08T08:50:54Z,US,24800000,519,23189192648
UCpYye8D5fFMUPf9nSfgd4bA,"At BabyBus, our goal is to make learning a fun experience for kids aged 2 - 5 by creating classic nursery rhymes, kids songs and stories with 2D & 3D animations ...",2016-07-15T02:38:42Z,US,19700000,1464,14154068549
UCAOtE1V7Ots4DjM8JLlrYgg,"Peppa lives with her mummy and daddy and her little brother, George. Her adventures are fun, sometimes involve a few tears, but always end happily. Welcome ...",2013-10-09T13:07:35Z,US,19200000,770,11776486074
UC7Pq3Ko42YpkCB_Q4E981jw,We welcome you to the land of Kids TV where you will find lots of nursery rhymes and kids songs with lyrics. We aim to make children's learning a fun ...,2013-08-30T11:56:31Z,US,16700000,2829,8311295441
