channelId,description,publishedAt,region,subscriberCount,videoCount,viewCount
UCjOl2AUblVmg2rA_cRgZkFg,"Welcome to the official home of Top Gear on YouTube. Here you will find all the best clips from your favourite episodes, whether that's Ken Block in the ...",2006-03-27T10:22:50Z,US,7610000,1354,3012156814
UCes1EvRjcKU4sY_UEavndBw,"Learn how to fix your own car with my easy to follow, step-by-step how to style videos for both beginners and experts. Save money, know the job is getting done ...",2008-07-30T14:59:12Z,US,6920000,337,1020793024
UCsAegdhiYLEoaFGuJFVrqFQ,The ultimate automotive streaming service. Get the MotorTrend App for $2/month now! ➡️ https://bit.ly/2GlwALJ Need help with your MotorTrend subscription?,2006-03-11T08:32:34Z,US,6580000,2214,1169502258
UCUhFaUpnq31m6TNX2VKVSVA,"On the lookout for your next car? Head to carwow.co.uk to find the right car from the right dealer, at the right price.",2014-01-02T16:32:13Z,US,4650000,1317,1401956976
UCKSVUHI9rbbkXhvAXK-2uxA,"I'm Alex, that girl with the cars and I hunt down the world's coolest cars! Agent: WME - http://www.wmeagency.com facebook.com/supercarblondie ...",2007-09-12T17:33:49Z,US,4700000,239,363377842
UC2C_jShtL725hvbm1arSV9w,,2010-08-12T20:12:29Z,US,4450000,158,584921982
UCL6JmiMXKoXS6bpP1D3bk8g,Are you an automotive history buff? Do you enjoy watching cars being built? Are you infinitely curious about engines? Do you want to know the stories behind ...,2015-07-09T18:57:30Z,US,4200000,830,893273042
UCsqjHFMB_JYTaEnf_vmTNqg,,2013-09-11T19:26:56Z,US,3760000,544,1176072189
UCuxpxCCevIlF-k-K5YU8XPA,Check Out My New Second Channel in the Link Below! This is the people's automotive channel! The most honest and funniest car channel on YouTube.,2007-08-19T13:12:23Z,US,3690000,2356,1191604583
UCgJRL30YS6XFxq9Ga8W2J3A,"Mighty Car Mods is an independent automotive series created by a couple of friends, Marty and Moog who started filming videos on Martys mum's driveway in ...",2008-01-08T02:55:42Z,US,3390000,528,642526895
UC8-Th83bH_thdKZDJCrn88g,"The Tonight Show Starring Jimmy Fallon features hilarious highlights from the show including: comedy sketches, music parodies, celebrity interviews, ridiculous ...",2006-01-08T09:41:20Z,US,26600000,6159,13002477147
UCY30JRSgfhYXA6i6xX1erWg,New video every week! Buy Smosh merch at https://smosh.store.,2005-11-19T10:25:07Z,US,25100000,1160,9646128506
UCkAGrHCLFmlK3H2kd6isipg,Welcome to the Official Mr Bean channel. The first episode of the original Mr Bean series starring Rowan Atkinson was first broadcast on 1st January 1990.,2006-01-04T13:32:47Z,US,23700000,1960,7505878710
UCV9_KinVpV-snHe3C3n1hvA,"Send letters to: 3727 W. Magnolia Blvd #712 Burbank, CA 91505 *Branding, Media, & General Business Inquiries: ShaneDawsonTVBiz@gmail.com *Film ...",2005-09-22T03:45:47Z,US,21300000,652,4471683273
UC9gFih9rw0zNCK3ZtoKQQyA,For Business Inquiries: http://jennamarblesblog.com/contact-me/ http://www.facebook.com/pages/Jenna-Mourey/311917224927 ...,2010-02-16T17:38:20Z,US,20200000,250,1634508184
UCi9cDo6239RAzPpBZO9y5SA,PART OF THE SHOTS STUDIOS FAMILY!,2015-09-19T01:11:59Z,US,17100000,134,4156001727
UCo8bcnLyZH8tBIH9V1mLgqQ,"What I use: I draw my pictures on Paint Tools Sai and I edit it all in Adobe Premiere. (Really? You don't use any animation software??) (Yeah, I know it's ''''not ...",2014-08-30T18:08:02Z,US,15800000,111,3319344282
UCfm4y4rHF5HGrSr-qbvOwOg,"Spent thousands of dollars on tuition, graduated and got a degree. I make YouTube videos now. I am also a happy unicorn that believes in one love. Join me on ...",2010-10-29T06:29:13Z,US,14900000,801,3403484729
UCB0d0JLn1WcGYcwwZ87d2LA,"I make different types of videos ranging from, DIYs, life hacks, comedy, skits, and anything I enjoy making, I hope you enjoy it too! For all business and branding ...",2010-12-14T20:57:21Z,US,14600000,452,3774829092
UCPDis9pjXuqyI7RYLJ-TTSA,"Every success begins with a failure. FailArmy is for people who go out and try. They laugh in the face of failure, and don't take themselves too seriously. Want to ...",2011-07-05T10:47:32Z,US,14600000,345,1445740311
UCbCmjCuTUZos6Inko4u57UQ,"At CoComelon, our primary goal has always been to engage families with entertaining and educational content that makes universally-relatable preschool ...",2006-09-01T22:18:49Z,US,95500000,570,80047635676
UCBnZ16ahKA2DZ_T5W0FPUXg,"ChuChu TV is designed to engage children through upbeat nursery rhymes and educational songs with colorful animations. Baby Taku, ChuChu & Friends will ...",2013-02-09T07:51:48Z,US,40800000,384,26216541781
UCcdwLMPsaU2ezNSJU1nFoBQ,"Welcome to Pinkfong's official YouTube channel. Meet Pinkfong's fun, educational videos that captured the hearts of millions of children around the world.",2011-12-14T04:54:24Z,US,39300000,1645,17926083628
UCKAqou7V9FAWXpZd9xtOg3Q,Little Baby Bum is a fun and educational show for kids featuring classic and new nursery rhymes and loved by babies and their parents all around the world.,2011-06-22T13:34:20Z,US,33100000,1306,29515620771
UCBR8-60-B28hp2BmDPdntcQ,"YouTube's Official Channel helps you discover what's new & trending globally. Watch must-see videos, from music to culture to Internet phenomena.",1970-01-01T00:00:00Z,US,30800000,331,2326243576
UCLsooMJoIpl_7ux2jvdPB-Q,"Kids songs, nursery rhymes, and more! Learn and explore through song and movement with Super Simple Songs! Our team of educators has created some of ...",2006-09-08T08:50:54Z,US,24900000,519,23240653683
UCpYye8D5fFMUPf9nSfgd4bA,"At BabyBus, our goal is to make learning a fun experience for kids aged 2 - 5 by creating classic nursery rhymes, kids songs and stories with 2D & 3D animations ...",2016-07-15T02:38:42Z,US,19800000,1466,14220614552
UCAOtE1V7Ots4DjM8JLlrYgg,"Peppa lives with her mummy and daddy and her little brother, George. Her adventures are fun, sometimes involve a few tears, but always end happily. Welcome ...",2013-10-09T13:07:35Z,US,19300000,773,11831220536
UC7Pq3Ko42YpkCB_Q4E981jw,We welcome you to the land of Kids TV where you will find lots of nursery rhymes and kids songs with lyrics. We aim to make children's learning a fun ...,2013-08-30T11:56:31Z,US,16800000,2832,8333345166
UCsXVk37bltHxD1rDPwtNM8Q,Videos explaining things with optimistic nihilism. We are a small team who want to make science look beautiful. Because it is beautiful. Currently we make one ...,2013-07-09T20:17:20Z,US,13100000,128,1135684370
UC-lHJZR3Gqxm24_Vd_AJ5Yw,I make videos.,2010-04-29T10:54:00Z,US,107000000,4212,26167492046
UCk8GzjMOrta8yxDcKfylJYw,nicefamilyshow@gmail.com.,2015-05-12T08:26:57Z,US,65200000,767,40953966544
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad & Niki” is the global preschool phenomenon and highest rated kids channel on YouTube starring the imaginative personalities and antics of brothers Vlad ...,2018-04-23T13:58:18Z,US,54700000,289,33740456850
UCX6OQ3DkcsbYNE6H8uQQuVA,Accomplishments - Counting to 100k - Counting to 200k - Reading the Dictionary - Watching Dance Till You're Dead For 10 Hours - Reading Bee Movie Script ...,2012-02-20T00:43:50Z,US,44600000,691,7444549062
UC-8Q-hLdECwQmaWNwXitYDw,"Katy Perry on Vevo - Official Music Videos, Live Performances, Interviews and more...",2009-12-13T03:04:53Z,US,25300000,156,19968618632
UCp0hYYBW6IMayGgR-WeoCvQ,"For 18 incredible, eventful and sometimes life-changing seasons, Ellen has been making audiences laugh all over the world with her signature brand of humor ...",2006-11-21T04:53:43Z,US,37600000,12200,20854215193
UC4rlAVgAK0SGk-yTfe48Qpw,"Hey! Are you looking for answers to life's biggest questions? Whether you're into recent discoveries, space exploration,, true stories, fitness, fun tests, and riddles ...",2017-03-15T11:17:50Z,US,36900000,3261,7165567892
UC2xskkQVFEpLcGFnNSLQY0A,"Rihanna on Vevo - Official Music Videos, Live Performances, Interviews and more...",2009-05-12T05:29:11Z,US,25600000,106,15715835922
